Main.MR.results.Exposure	Main.MR.results.MR.Analysis	Main.MR.results.Causal.Estimate	Main.MR.results.Sd	Main.MR.results.T.stat	Main.MR.results.P.value	MR.PRESSO.results.Global.Test.RSSobs	MR.PRESSO.results.Global.Test.Pvalue	MR.PRESSO.results.Outlier.Test.RSSobs	MR.PRESSO.results.Outlier.Test.Pvalue	MR.PRESSO.results.Distortion.Test.Outliers.Indices	MR.PRESSO.results.Distortion.Test.Distortion.Coefficient	MR.PRESSO.results.Distortion.Test.Pvalue
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.004433181	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	7.15E-05	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.011804114	<0.176	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.000784061	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.00148857	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.000221367	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	4.49E-06	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.000115343	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	2.48E-07	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	1.92E-05	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.00374889	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.002114776	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.000156674	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.000472548	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.002106297	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.000110871	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.001639172	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.000112634	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	6.25E-05	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.00112414	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	5.61E-07	1	45	-596.9665216	0.027
